,A,AD,B,C,CBD,PSP,Pick's,U
1002,0.02379856974742605,0.01556131394569673,0.02258121824413086,0.012010488187533619,0.02700346583036629,0.020701417172315845,0.020609637888606654,0.02005572612050622
1003,0.01746866787722021,0.012820663331509899,0.014202014867578732,0.006776294529407468,0.02223293174449484,0.01605544101906273,0.013286749211307078,0.013825818630787905
1005,0.009270147703009098,0.014714057132557015,0.010246515635352962,0.009781499934948491,0.008975676808257279,0.01431798482664085,0.004626327866306634,0.01184036192051358
1006,0.021352707418786174,0.02006982481563761,0.02927896629265561,0.04371632410802858,0.019066316050601575,0.024350641995007572,0.028694331382552882,0.024730083425437872
1007,0.010406136726073207,0.013948302261455598,0.013190769552716527,0.01605853718014591,0.009817972630387225,0.015501758376659465,0.008918027103560988,0.013222676019921947
1008,0.009973945896369126,0.016156021576305576,0.0075039659772947334,0.00723537049773445,0.009191147505537749,0.009045117774899983,0.004592272009372201,0.010515859906804065
1009,0.012682018067254556,0.0121590871577781,0.016519735773772193,0.02268775852044086,0.011434681771202476,0.0138396653432035,0.015348341799195874,0.014297658440896716
1010,0.014244721818986854,0.021619913157539968,0.011885114191370637,0.011090854786995208,0.013262028218485815,0.014408762487669112,0.00799106156239804,0.015360040271693914
1011,0.008202045273032995,0.013101859291347545,0.008125445893357692,0.007776124900728588,0.007817260190522876,0.010966902749331783,0.003993264496346824,0.009880823230626718
1012,0.020752828940469092,0.011309479222839019,0.021873327147412684,0.013259764490690799,0.019439123829923174,0.015548004028526012,0.024191436892919044,0.018338852908731128
1013,0.009905838971719457,0.015645422564995553,0.011815872363005584,0.011261784041483376,0.009705739848677963,0.016867105899860926,0.0050365564891296875,0.013200545907308573
1014,0.023163746331019308,0.012641666866669137,0.023328974903547326,0.014429527833890766,0.02161435320988175,0.01666744639973739,0.029001990594502147,0.020073037263296616
1015,0.014999320379006274,0.01631247552448362,0.016808309482999193,0.018877119531536733,0.01375259431630217,0.01489316296995132,0.013570340091127394,0.016087289393559974
1016,0.012195365537826118,0.017503347942330483,0.016005535947676515,0.024108969486706378,0.011255340241223011,0.01890015594197076,0.012738318345747028,0.016163841768181718
1017,0.014180655301387166,0.01522175661799785,0.013691315121207935,0.009764435825914386,0.016380714559898875,0.017495944390026087,0.009349282377343636,0.014304600954779423
1018,0.024200085616836425,0.0161937567624153,0.023162134882674296,0.01193654061422547,0.028194379182276713,0.021830768776681612,0.018864653770773634,0.020457746336204955
1019,0.02460644874638634,0.014907326674540096,0.0245733006718849,0.0138987984246794,0.025784841693233754,0.02015293988592056,0.02439057366786335,0.021210958427689094
1020,0.0241480744921031,0.016210618711949412,0.022996958653320992,0.01182630735211699,0.02822006402866272,0.021797394538378524,0.018808877713240857,0.02037054808099861
1021,0.007897804361681644,0.01246860826387776,0.009419104541409078,0.008977754561308511,0.0077384193844860115,0.013441604480883088,0.004019766313825975,0.010521678770836321
1022,0.013971014942779521,0.01897735316340996,0.012832293248424522,0.010759649419901235,0.01452486111069548,0.016486933101775847,0.007829946709451098,0.015019648933574083
1023,0.018821880938725142,0.02081029703461071,0.014818603941763498,0.009956606340110894,0.02118461882802595,0.01720023509010228,0.011939747459850289,0.016970038119264223
1024,0.01727245567707288,0.017559680945946225,0.016235103934313388,0.011021538877299376,0.02029341502739177,0.020402631937942273,0.011678092390889327,0.016795283955485785
1025,0.011895181257382623,0.01927347860954878,0.008946905013884439,0.008626436301738566,0.010960924805134121,0.010786254721232506,0.005472453360353024,0.012541772058539217
1026,0.024117048358506678,0.013155655942683954,0.024566843856546512,0.01511694068157274,0.02252494620014249,0.017528144389226633,0.02968458686373771,0.0210000655371122
1027,0.020010799248480513,0.013480576563968385,0.01895808718643084,0.009731428384275586,0.0234581122422481,0.018075602328328798,0.015574578029631737,0.016844641056123495
1028,0.01977942178184689,0.013550627130593225,0.018234375251970424,0.00924918094148787,0.02356407856948766,0.01792583321097131,0.015327918265605384,0.016460887418663785
1029,0.00819807087989152,0.01327442977424566,0.006170199836981646,0.005949553042645557,0.007555271463752987,0.007435715168697725,0.003778686038369115,0.008643227816717797
1030,0.014654588070020704,0.014658590932807821,0.017429822120927,0.020256612302352463,0.013406909049060573,0.014860794487704667,0.014589138411596196,0.015828150043564318
1031,0.011955156120260733,0.01603031440970369,0.0105121425321828,0.00860321811097601,0.011108292181941733,0.010723214681438923,0.006607702220970678,0.012290104465510333
1034,0.018484135167942468,0.021850867031830774,0.017588085495769314,0.0132352771477299,0.01725420847287647,0.016472406121110724,0.011181858242769623,0.018724800355102163
1035,0.026952690177476486,0.01791991996619615,0.02948700885835557,0.022078268122763117,0.02783102382224438,0.024277754893990887,0.02613103194781958,0.024886548050114497
2002,0.022430865923590167,0.013927130457159835,0.019702288502210036,0.01149424728643241,0.02384593148852875,0.01716530067264084,0.025893383924737032,0.018346128145650502
2003,0.018779225245328487,0.01307096394837739,0.015495606883934093,0.008009722614062749,0.022560206885797473,0.016169484252573786,0.017116610452580283,0.01496280095036381
2005,0.00912852262501354,0.014523229539572627,0.009715086246416697,0.009281887569394623,0.008788971303580589,0.013421581056840295,0.0045151217116393425,0.011422473684097175
2006,0.016790954054242777,0.025566132975579088,0.02616278231420768,0.06735520183884638,0.013565955692358625,0.02581799517514034,0.03548027042533643,0.024490513435465648
2007,0.011747005880930233,0.01818300832773769,0.016379753261526853,0.031989261435758955,0.010395603657991784,0.018929065880592327,0.016376698575666697,0.016469398409525996
2008,0.012551707376117648,0.02021261508698454,0.010474349734792363,0.013317806032483276,0.011420169982520012,0.012190679484203264,0.007894446108013334,0.01375253083895516
2009,0.011532433266018015,0.017552106381088367,0.01796148361847401,0.04621723966946901,0.00932018341225209,0.017725082244683946,0.024351597227814627,0.01681427082231551
2010,0.014599931645107646,0.020939494623557826,0.011954633903952804,0.010851184472394722,0.013545764628597317,0.013785432564091654,0.009365810331910973,0.015233873045219268
2011,0.010256839099963925,0.01630714283393339,0.01090548523961445,0.012025496503648555,0.00973414365481888,0.014540151965582546,0.00606215458646399,0.012762212883299666
2012,0.020502954937510854,0.011245295359729204,0.017891146659413257,0.01183763353754108,0.01892162757140108,0.013013537837511401,0.03074786734062743,0.016763132926866032
2013,0.00985164836366396,0.015559690088892214,0.011751190993619794,0.01120014548827994,0.009652647965613607,0.01677466200062288,0.005009116849319737,0.013128251520564328
2014,0.02309926682817757,0.013982961422399447,0.021858298805555343,0.018287703731798187,0.0212184530234537,0.01637621554441411,0.03407390292947467,0.02003958630572951
2015,0.014781200445661368,0.02301886998594464,0.018801023456632853,0.042046191300535565,0.012538003622633163,0.019416881355123563,0.022557869292243057,0.019437843248447897
2016,0.011982507791765799,0.018508564135500078,0.016957363968119622,0.03459205714312169,0.01048673917956947,0.019195613995077423,0.017800150475738935,0.016885402046888258
2017,0.012600980853184184,0.014378315961099416,0.012718841737619582,0.01070159944608019,0.014176931817566265,0.016287455586743053,0.008743286883910918,0.013327128859426749
2018,0.02076255933455727,0.013271540384801614,0.01799382308018693,0.012201202977562213,0.021774109590311362,0.015782669174093874,0.025798178278472056,0.017085192475508323
2019,0.021760209213880898,0.01193349941272986,0.01898778930085634,0.012562256065806313,0.02008170462712386,0.013810378128766763,0.032634932570851226,0.017790470574601064
2020,0.020200114028581993,0.011979836069603454,0.017336986548993575,0.010741574186637175,0.020342242631286967,0.014202826936838806,0.026702743801023686,0.016388285307377758
2021,0.006446349748570952,0.01017233322408878,0.007686664435939846,0.007326804736205914,0.006316393861932243,0.010965572229695077,0.0032848059998957613,0.008585331017117791
2022,0.013896378567392275,0.018514398136424838,0.013836068947861711,0.015173639718136466,0.014367826425270906,0.017146297959249393,0.010189130525975192,0.015390175928583945
2023,0.018763602014766054,0.02091856276157441,0.014936578971586727,0.010965766915317228,0.019464601133522063,0.016069646729163375,0.01437738500935836,0.017272719944809833
2024,0.017895854748923256,0.01810122656964453,0.017302598719723932,0.013921682836486041,0.020162473715332672,0.020770515006586047,0.01444313670487213,0.017718367206793526
2025,0.01161176648975589,0.018813601610696246,0.008734046927822581,0.008421231160237156,0.010699852550245104,0.010529407658274622,0.005342611753060403,0.012242915874213972
2026,0.022817172441855153,0.012491191367689692,0.02099224947760639,0.013539004614564453,0.021139488995802837,0.015163597221147952,0.03222800977696595,0.019048574926844662
2027,0.017750917903424493,0.010750552872569225,0.01516479321623496,0.009215970567053464,0.018292661534856158,0.012821407698325508,0.02258246291752972,0.014371218848867308
2028,0.018623878906185696,0.011726360593379493,0.015765834355380218,0.009209419282273767,0.020038440057568906,0.014138639143122434,0.021906788937614875,0.015014082570662108
2029,0.010043367295239473,0.01619924469918525,0.00831317424312188,0.007992848092138117,0.009355273385579581,0.01047599799924384,0.004706582486813202,0.011067366952529079
2030,0.01353179203450504,0.016884221061964043,0.018465075589586846,0.04115597701593167,0.011373061094847177,0.017358808248518515,0.026242082969197122,0.017288355051761097
2031,0.012906707779776094,0.018744757794946245,0.010772282076307552,0.012467948270312484,0.011778547443237492,0.011830280108207273,0.009649235311304696,0.013569077710978067
2034,0.018046843785798163,0.023634175442100537,0.01691875996309134,0.023587583832499384,0.016247470422007075,0.01717868606837307,0.019068032935406477,0.019243324311562265
2035,0.02474486954353161,0.01978168354357435,0.02507588739869121,0.032250747177621386,0.023840805826968733,0.021988390885302217,0.03702804338901794,0.023625678586426356
